code_uic,nom,commune,departement,lat,lon,paris_min,paris_gare
87313759,Abancourt,Abancourt,OISE,49.685526,1.774495,,
87481614,Abbaretz,Abbaretz,LOIRE-ATLANTIQUE,47.555462,-1.524313,,
87317362,Abbeville,Abbeville,SOMME,50.100849,1.825534,,
87545269,Ablon,Ablon-Sur-Seine,VAL-DE-MARNE,48.723897,2.417862,,
87316745,Acheux-Franleu,Chepy,SOMME,50.08249,1.657197,,
87342048,Achiet,Achiet-Le-Grand,PAS-DE-CALAIS,50.131968,2.780612,,
87386052,Achères-Grand-Cormier,Saint-Germain-En-Laye,YVELINES,48.955145,2.091973,,
87381657,Achères-Ville,Acheres,YVELINES,48.970052,2.077779,,
87757559,Agay,Saint-Raphael,VAR,43.432054,6.856749,,
87781278,Agde,Agde,HERAULT,43.31685,3.461673,,
87586008,Agen,Agen,LOT-ET-GARONNE,44.208341,0.621048,,
87595157,Agonac,Agonac,DORDOGNE,45.287059,0.749343,,
87171702,Aguilcourt-Variscourt,Aguilcourt,AISNE,49.406853,3.973515,,
87485193,Aigrefeuille-Le Thou,Le Thou,CHARENTE-MARITIME,46.093627,-0.951249,,
87741421,Aiguebelette-le-Lac,Aiguebelette-Le-Lac,SAVOIE,45.536222,5.813118,,
87741256,Aiguebelle,Val-D'Arc,SAVOIE,45.54481,6.305154,,
87734129,Aigueperse,Aigueperse,PUY-DE-DOME,46.014744,3.198198,,
87775858,Aigues-Mortes,Aigues-Mortes,GARD,43.57088,4.191092,,
87586693,Aiguillon,Aiguillon,LOT-ET-GARONNE,44.29876,0.335088,,
87185629,Aillevillers,Corbenay,HAUTE-SAONE,47.913971,6.336785,,
87313221,Ailly-sur-Noye,Ailly-Sur-Noye,SOMME,49.7545,2.36399,,
87313098,Ailly-sur-Somme,Ailly-Sur-Somme,SOMME,49.927915,2.201677,,
87775833,Aimargues,Aimargues,GARD,43.678651,4.208742,,
87741769,Aime-La Plagne,Aime-La-Plagne,SAVOIE,45.55437,6.648429,,
87713636,Aiserey,Aiserey,COTE-D'OR,47.170742,5.157577,,
87751404,Aix-en-Provence,Aix-En-Provence,BOUCHES-DU-RHONE,43.522763,5.445177,,
87319012,Aix-en-Provence-TGV,Aix-En-Provence,BOUCHES-DU-RHONE,43.455237,5.317307,183,Paris Gare de Lyon
87741132,Aix-les-Bains-Le Revard,Aix-Les-Bains,SAVOIE,45.68968,5.908769,,
87592667,Aixe-sur-Vienne,Aixe-Sur-Vienne,HAUTE-VIENNE,45.796499,1.145648,,
87722744,Alaï,Tassin-La-Demi-Lune,RHONE,45.751901,4.771827,,
87746115,Albens,Entrelacs,SAVOIE,45.785931,5.948602,,
87313072,Albert,Albert,SOMME,50.005598,2.64401,,
87741645,Albertville,Albertville,SAVOIE,45.669083,6.372403,,
87615005,Albi,Albi,TARN,43.922347,2.137785,,
87615195,Albi-Madeleine,Albi,TARN,43.93862,2.141025,,
87613398,Albias,Albias,TARN-ET-GARONNE,44.090813,1.442956,,
87721266,Albigny-Neuville,Albigny-Sur-Saone,RHONE,45.873871,4.833262,,
87444711,Alençon,Alencon,ORNE,48.43394,0.099146,,
87615187,Alet-les-Bains,Alet-Les-Bains,AUDE,42.997275,2.251998,,
87594234,Allassac,Allassac,CORREZE,45.258567,1.473201,,
87783654,Allenc,Allenc,LOZERE,44.541521,3.66413,,
87731885,Alleyras,Alleyras,HAUTE-LOIRE,44.9188,3.673314,,
87710913,Allée Royale,Saint-Cyr-L'Ecole,YVELINES,48.814407,2.078456,,
87182238,Altkirch,Altkirch,HAUT-RHIN,47.627025,7.240219,,
87775288,Alès,Ales,GARD,44.128032,4.084967,,
87172262,Amagne-Lucquy,Lucquy,ARDENNES,49.523824,4.474687,,
87592311,Ambazac,Ambazac,HAUTE-VIENNE,45.952963,1.406938,,
87574343,Amboise,Amboise,INDRE-ET-LOIRE,47.421528,0.98119,,
87743146,Ambronay-Priay,Ambronay,AIN,46.011586,5.338093,,
87743716,Ambérieu,Amberieu-En-Bugey,AIN,45.953823,5.34239,,
87313874,Amiens,Amiens,SOMME,49.889915,2.31024,,
87171744,Amifontaine,Amifontaine,AISNE,49.484697,3.910682,,
87394205,Amilly-Ouerray,Amilly,EURE-ET-LOIR,48.438096,1.390511,,
87721035,Amplepuis,Amplepuis,RHONE,45.970495,4.327214,,
87481192,Ancenis,Ancenis-Saint-Gereon,LOIRE-ATLANTIQUE,47.369492,-1.177842,,
87172858,Anchamps,Anchamps,ARDENNES,49.930765,4.669872,,
87575332,Anché-Voulon,Anche,VIENNE,46.349739,0.250203,,
87192419,Ancy-sur-Moselle,Ancy-Dornot,MOSELLE,49.05737,6.062762,,
87715102,Andelot,Andelot-En-Montagne,JURA,46.859545,5.923301,,
87381491,Andrésy,Andresy,YVELINES,48.974738,2.04902,,
87726406,Andrézieux,Andrezieux-Boutheon,LOIRE,45.521627,4.255252,,
87484048,Angers-Maître-École,Angers,MAINE-ET-LOIRE,47.466879,-0.532569,,
87484006,Angers-St-Laud,Angers,MAINE-ET-LOIRE,47.464372,-0.556772,91,Paris Montparnasse
87543090,Angerville,Angerville,ESSONNE,48.310411,2.003015,,
87485102,Angoulins-sur-Mer,Angoulins,CHARENTE-MARITIME,46.106811,-1.115128,,
87583005,Angoulême,Angouleme,CHARENTE,45.653643,0.164145,127,Paris Montparnasse
87296566,Anizy-Pinon,Pinon,AISNE,49.495966,3.448804,,
87286856,Annappes,Villeneuve-D'Ascq,NORD,50.622872,3.146407,,
87746008,Annecy,Annecy,HAUTE-SAVOIE,45.902211,6.121833,227,Paris Gare de Lyon
87745497,Annemasse,Annemasse,HAUTE-SAVOIE,46.200487,6.238238,,
87295055,Anor,Anor,NORD,49.985392,4.092727,,
87721324,Anse,Anse,RHONE,45.938605,4.720805,,
87287219,Anstaing,Anstaing,NORD,50.604796,3.192968,,
87757567,Anthéor-Cap-Roux,Saint-Raphael,VAR,43.435398,6.891957,,
87757674,Antibes,Antibes,ALPES-MARITIMES,43.586216,7.119347,,
87317255,Anvin,Anvin,PAS-DE-CALAIS,50.446869,2.255216,,
87191387,Anzeling,Anzeling,MOSELLE,49.262417,6.459586,,
87296459,Appilly,Appilly,OISE,49.580427,3.120163,,
87582726,Arbanats,Arbanats,GIRONDE,44.674321,-0.395514,,
87718155,Arbois,Arbois,JURA,46.912701,5.76309,,
87718841,Arc-et-Senans,Arc-Et-Senans,DOUBS,47.030403,5.776618,,
87144410,Arches,Arches,VOSGES,48.119907,6.528229,,
87580340,Arenc-Euroméditerranée,Marseille,BOUCHES-DU-RHONE,43.312883,5.367807,,
87671479,Arengosse,Arengosse,LANDES,44.006868,-0.809382,,
87784231,Argelès-sur-Mer,Argeles-Sur-Mer,PYRENEES-ORIENTALES,42.544036,3.021639,,
87444539,Argentan,Argentan,ORNE,48.738582,-0.025791,,
87381848,Argenteuil,Argenteuil,VAL-D'OISE,48.947453,2.257259,,
87746859,Argentière,Chamonix-Mont-Blanc,HAUTE-SAVOIE,45.981758,6.926774,,
87597120,Argenton-sur-Creuse,Argenton-Sur-Creuse,INDRE,46.593358,1.517643,,
87753657,Arles,Arles,BOUCHES-DU-RHONE,43.681728,4.63343,,
87345421,Arleux,Arleux,NORD,50.286335,3.12084,,
87286146,Armentières,Armentieres,NORD,50.680764,2.876225,,
87396549,Arnage,Arnage,SARTHE,47.929315,0.189966,,
87281121,Arnèke,Arneke,NORD,50.830773,2.408162,,
87545467,Arpajon,Arpajon,ESSONNE,48.586031,2.240991,,
87342014,Arras,Arras,PAS-DE-CALAIS,50.286701,2.781878,49,Paris Gare du Nord
87394486,Arrou,Commune Nouvelle D'Arrou,EURE-ET-LOIR,48.101238,1.129586,,
87192401,Ars-sur-Moselle,Ars-Sur-Moselle,MOSELLE,49.074238,6.077933,,
87543058,Artenay,Artenay,LOIRET,48.080063,1.883056,,
87672212,Artix,Artix,PYRENEES-ATLANTIQUES,43.393299,-0.57083,,
87734251,Arvant,Bournoncle-Saint-Pierre,HAUTE-LOIRE,45.365319,3.310539,,
87286864,Ascq,Villeneuve-D'Ascq,NORD,50.621949,3.159824,,
87381137,Asnières-sur-Seine,Asnieres-Sur-Seine,HAUTS-DE-SEINE,48.905357,2.283829,,
87763250,Aspres-sur-Buëch,Aspres-Sur-Buech,HAUTES-ALPES,44.51938,5.754332,,
87672162,Assat,Assat,PYRENEES-ATLANTIQUES,43.254994,-0.295652,,
87613075,Assier,Assier,LOT,44.674707,1.869375,,
87545251,Athis-Mons,Athis-Mons,ESSONNE,48.711185,2.402039,,
87751750,Aubagne,Aubagne,BOUCHES-DU-RHONE,43.296248,5.566927,,
87594465,Aubazine-St-Hilaire,Saint-Hilaire-Peyroux,CORREZE,45.181787,1.641852,,
87386730,Aubergenville-Élisabethville,Aubergenville,YVELINES,48.971821,1.847199,,
